Neighbourhood.Name,Neighbourhood_Number,Gini_i_HH_tIncome,Avg_HH_size,Avg_tIncome_HH_in_2020,Race_Total,Prop_Black,Prop_Arab,Prop_Latin_Amrican,Prop_East_SouthEast_Asian,Prop_West_Asian,Prop_multi_vis_minority,Prop_non_vis_minority,Total Population,Unemployment_rate,Prop_no_dip,Prop_HS_or_equi,Prop_PS_non_Bach,Prop_PS_Bach,Prop_Graduate,TOTAL_CRIME_RATE_2015,TOTAL_CRIME_RATE_2016,TOTAL_CRIME_RATE_2017
Avondale,153,0.4,2,102700,13790,0.02356780276,0.02356780276,0.0264684554,0.345177665,0.1327048586,0.02248005801,0.2625090645,12245,11.4,0.04083299306,0.1457737852,0.1621069824,0.3879134341,0.2633728052,471.54456,580.21505,650.414038
Oakdale.Beverley.Heights,154,0.3,2.8,89600,21415,0.2640672426,0.006770954938,0.1169740836,0.2148027084,0.009105766986,0.02148027084,0.3070277843,17625,16.9,0.2702242407,0.3252909452,0.2506386602,0.1158103889,0.03803576497,1942.39275,1808.33139,2002.031215
Downsview,155,0.3,2.6,97600,17970,0.08764607679,0.01335559265,0.06928213689,0.2874234836,0.006956037841,0.02615470228,0.4454646633,15410,14.5,0.2068741894,0.2610246433,0.2629701686,0.2020103761,0.06712062257,1326.43968,1410.07322,1476.37462
Bendale.Glen.Andrew,156,0.3,2.5,86400,18685,0.05699759165,0.01632325395,0.01498528231,0.2895370618,0.03104094193,0.03050575328,0.2151458389,16075,15,0.1542768274,0.2712286159,0.233281493,0.232970451,0.1082426128,1445.36574,1661.31415,1486.18484
Bendale.South,157,0.3,3.2,105100,10725,0.07925407925,0.02144522145,0.01724941725,0.193006993,0.02097902098,0.03216783217,0.2447552448,9110,15.4,0.1777290181,0.2967635765,0.2375205705,0.2073505211,0.08063631377,1216.78169,1277.11404,1434.116883
Islington,158,0.4,2.5,147800,23460,0.06713554987,0.01768968457,0.03111679454,0.1142369991,0.01385336743,0.01662404092,0.6636828645,20035,13,0.1118881119,0.2327672328,0.2357642358,0.2757242757,0.1438561439,737.70088,808.69694,650.97792
Etobicoke.City.Centre,159,0.3,2,97400,23600,0.08601694915,0.01610169492,0.04661016949,0.1618644068,0.01377118644,0.02542372881,0.4955508475,20810,11.1,0.0876771559,0.1900072063,0.2416526543,0.299303387,0.1813595964,1742.511533,1722.78082,1378.34921
Mimico.Queensway,160,0.4,2.2,111800,17045,0.05309474919,0.0152537401,0.02904077442,0.12437665,0.01085362276,0.02082722206,0.6435904957,14650,11.6,0.1336971351,0.2118008186,0.2540927694,0.2629604366,0.1374488404,1334.20525,1447.144537,2067.514239
Humber.Bay.Shores,161,0.4,1.7,110700,22600,0.06659292035,0.0232300885,0.04845132743,0.1183628319,0.02831858407,0.02522123894,0.564159292,20900,12.4,0.06409949773,0.1755560871,0.2475484334,0.3221717293,0.1906242526,780.14228,798.95499,940.80782
West.Queen.West,162,0.4,1.7,136400,13170,0.05277145027,0.01138952164,0.04062262718,0.159453303,0.01214882308,0.02923310554,0.6343963554,12045,7.5,0.05845771144,0.1480099502,0.1708126036,0.421641791,0.2010779436,1699.65304,1790.41639,1794.04939
Fort.York.Liberty.Village,163,0.4,1.6,112300,19910,0.06730286288,0.020592667,0.04043194375,0.167754897,0.01833249623,0.02536413862,0.5311401306,18710,8.6,0.02670940171,0.1172542735,0.1875,0.4447115385,0.2238247863,1456.2854,1110.567596,1306.99349
Wellington.Place,164,0.5,1.5,124500,25570,0.04047712163,0.0267892061,0.02894016425,0.2266327728,0.02542041455,0.0267892061,0.4927649589,24440,7.8,0.01697341513,0.1047034765,0.1194274029,0.4895705521,0.2693251534,4564.48499,4947.9538,4576.90849
Harbourfront.CityPlace,165,0.4,1.7,110200,28130,0.06327763953,0.02950586562,0.04283682901,0.228048347,0.02328474938,0.02701741913,0.3826875222,26060,10.3,0.03202915228,0.1158419639,0.1572688914,0.4342155735,0.2606444189,1242.477666,1234.14463,1610.821125
St.Lawrence.East.Bayfront.The.Islands,166,0.4,1.7,118600,31285,0.09045868627,0.02365350807,0.03052581109,0.1938628736,0.01997762506,0.02621064408,0.4832987054,29010,10.8,0.0420617135,0.1367005689,0.175486985,0.384588864,0.2611618686,1605.62667,1859.87754,1889.45574
Church.Wellesley,167,0.4,1.5,79300,22320,0.04121863799,0.02105734767,0.03987455197,0.2504480287,0.03046594982,0.02016129032,0.4592293907,21420,15.6,0.03874883287,0.1799719888,0.16643324,0.369047619,0.2457983193,2464.443407,2730.542078,3070.97559
Downtown.Yonge.East,168,0.5,1.6,96300,17695,0.08053122351,0.03051709522,0.03023452953,0.2506357728,0.02006216445,0.02910426674,0.4193274936,16640,13.6,0.04298166516,0.1550946799,0.1529906823,0.3865344154,0.2623985573,5588.10926,5309.3256,6493.6884
Bay.Cloverhill,169,0.6,1.6,94000,16670,0.03599280144,0.03029394121,0.01889622076,0.3686262747,0.03149370126,0.01919616077,0.3533293341,15930,15,0.01883830455,0.2034536892,0.1020408163,0.3918367347,0.2838304553,1741.56529,2011.28827,2157.59086
Yonge.Bay.Corridor,170,0.5,1.7,99800,12645,0.04507710558,0.05654408857,0.02846975089,0.3550810597,0.02174772637,0.02728351127,0.2846975089,11675,13.3,0.02696917808,0.1528253425,0.1031678082,0.3775684932,0.3394691781,8146.0227,7391.0779,8655.02385
Junction.Wallace.Emerson,171,0.3,2.3,103700,23180,0.07571182053,0.009059534081,0.0483175151,0.1481880932,0.005176876618,0.02717860224,0.6203623814,20105,14,0.1979607063,0.2126336732,0.2089032579,0.2407361353,0.1397662273,1225.592018,1224.725873,1268.55558
Dovercourt.Village,172,0.4,2.3,111500,12380,0.0436187399,0.00605815832,0.0359450727,0.1563004847,0.003231017771,0.02261712439,0.6853796446,11015,13.8,0.1876419809,0.2076328941,0.179918219,0.2635165834,0.1612903226,1000.23845,1680.503,1628.12758
North.Toronto,173,0.4,1.7,85400,15885,0.06452628266,0.01384954359,0.06610009443,0.1768964432,0.06295247088,0.02329241423,0.4866225999,14570,13,0.05458290422,0.1462409887,0.2046000687,0.3631994507,0.2313765877,1010.647121,646.54168,821.70754
South.Eglinton.Davisville,174,0.4,1.7,103500,22735,0.04992302617,0.01803386848,0.04728392347,0.1466901254,0.04332526941,0.02023312074,0.5405762041,20545,10.6,0.04379562044,0.1416058394,0.1695863747,0.3751824818,0.2698296837,680.17963,722.749338,934.75045
